연번,키워드,구분
1,보호구역,불용어
2,주정차,불용어
3,자기집,불용어
4,매장,불용어
5,블랙,불용어
6,합성,불용어
7,인도,불용어
8,마산합포구,불용어
9,불법주정차,불용어
10,다리,불용어
11,야크,불용어
12,해운,불용어
13,불법주차하,불용어
14,자리,불용어
15,강력,불용어
19,해당지역,불용어
20,황색,불용어
21,내서읍,불용어
22,신월,불용어
23,제재,불용어
24,도로,불용어
25,행위,불용어
26,상중교,불용어
27,복선,불용어
28,초등학교,불용어
29,가장,불용어
36,진입,불용어
37,보도,불용어
42,밤샘,불용어
46,완월동,불용어
48,도로변,불용어
49,시현,불용어
50,더운여름,불용어
51,새벽,불용어
52,다음날,불용어
53,번국도상,불용어
54,차아파트,불용어
55,창문,불용어
56,저희집,불용어
57,커튼,불용어
58,덕산,불용어
59,대방,불용어
60,조명,불용어
61,시경,불용어
62,시트,불용어
63,무더위,불용어
64,사업용차량,불용어
65,불투명,불용어
66,새어나가는걸,불용어
67,빛공해,불용어
68,지로,불용어
69,거실,불용어
70,거주,불용어
71,센서,불용어
72,중이,불용어
73,빛상황,불용어
74,성원,불용어
75,체육관,불용어
76,작년,불용어
77,열고자야되는데,불용어
78,암막커튼없,불용어
79,막아야될거,불용어
80,마주하는곳,불용어
81,맞은편,불용어
82,동맞은편,불용어
83,불편사항,불용어
84,형태,불용어
85,조명때문,불용어
86,복도,불용어
87,곡각지,불용어
88,누리,불용어
89,마산합포,불용어
90,우회,불용어
91,구현,불용어
92,한밤중,불용어
93,개짓,불용어
94,시야,불용어
95,소리,불용어
96,잠자리,불용어
97,여름철,불용어
98,오죽,불용어
99,농장,불용어
102,확보,불용어
103,횡단보도,불용어
106,태광당,불용어
116,플라워,불용어
119,요망,불용어
126,마산회원구,불용어
130,에덴별미,불용어
135,국밥,불용어
136,콩나물,불용어
139,어묵,불용어
140,부산,불용어
142,수제,불용어
146,원조,불용어
150,차량단속,불용어
166,옛길,불용어
171,신전떡복,불용어
174,승강장,불용어
180,올레,불용어
196,시외버스터미널,불용어
200,소재,불용어
201,금지구역,불용어
206,김밥,불용어
209,고봉,불용어
218,주유소,불용어
225,불난쭈꾸미,불용어
239,역주,불용어
241,집가는데,불용어
244,자전거로도앞,불용어
245,자전거,불용어
246,이런차들,불용어
247,주차하고있어서,불용어
249,사고날뻔했네,불용어
254,세워놔서,불용어
258,전용,불용어
261,장애인,불용어
262,장애,불용어
270,침범,불용어
278,기타,불용어
279,하나가고장,불용어
280,속천,불용어
281,조명등,불용어
285,파출소,불용어
286,경관,불용어
287,개중,불용어
291,성산구안민,불용어
293,대형차,불용어
294,일반,불용어
298,상습,불용어
299,석동우림필유,불용어
301,진해구,불용어
310,월영동동아,불용어
316,표지판,불용어
317,롯데마트,불용어
319,전면,불용어
320,유무,불용어
322,동승,불용어
324,식별,불용어
326,마산역,불용어
335,시티,불용어
336,지하,불용어
338,메트로,불용어
346,청년,불용어
347,용원동,불용어
348,푸르지오,불용어
354,확실,불용어
355,적어보냅니,불용어
356,사가,불용어
357,진해세화여고,불용어
359,주거지,불용어
360,석동,불용어
361,학교,불용어
362,주택,불용어
363,상지,불용어
364,개축사,불용어
365,민원인,불용어
366,뒤쪽,불용어
367,청결,불용어
368,안되는걸,불용어
369,이글,불용어
